node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
CD3E,362880.0,0.85919,9.0,9.0,4.488,1.0,1.0,9.0,1.22222,0.0,0.0,1.0,
CD8A,362880.0,0.85919,9.0,9.0,4.466,1.0,1.0,9.0,1.22222,0.0,0.0,1.0,
CD8B,362880.0,0.85919,9.0,9.0,4.49,1.0,1.0,9.0,1.22222,0.0,0.0,1.0,
PDCD1,362880.0,0.85919,9.0,9.0,4.403,1.0,1.0,9.0,1.22222,0.0,0.0,1.0,
FOXP3,362880.0,0.85919,9.0,9.0,4.487,1.0,1.0,9.0,1.22222,0.0,0.0,1.0,
PRF1,362880.0,0.85919,9.0,9.0,4.505,1.0,1.0,9.0,1.22222,0.0,0.0,1.0,
IFNG,362880.0,0.85919,9.0,9.0,4.379,1.0,1.0,9.0,1.22222,0.0,0.0,1.0,
GZMB,362880.0,0.85919,9.0,9.0,4.343,1.0,1.0,9.0,1.22222,0.0,0.0,1.0,
CD4,362880.0,0.85919,9.0,9.0,4.492,1.0,1.0,9.0,1.22222,0.0,0.0,1.0,
CD3D,362880.0,0.85919,9.0,9.0,4.445,1.0,1.0,9.0,1.22222,0.0,0.0,1.0,
