symbol,fd713184-4bb4-4e1b-a3b8-636273ee6ccc,a6a841ae-f63f-45ab-9a17-2288e12a9577,d94a4acc-1345-4cdb-b1e0-0b9c1afc593c,f1eb1ef7-fe25-4dd8-abed-9d9c298d72fb,32dd8db9-1e43-497e-a35a-664d7d15ed60,f6108b9b-e02f-4608-bec3-bcc0112d05b4,fbd81adc-aa56-4cde-b1f2-e749e2cbf653,525e9185-ed15-403d-8987-93c50e4b89a1,c15bee9b-18e0-433d-8216-32193639733c,a4c0b47f-515a-4578-a6d3-fbf447c5f107,6b4f8e00-03a3-4f9f-b1ef-435b0417d665,e2a7e12b-a940-4031-ad7f-a02cbb2a338f,b0a121e1-c084-43e0-89b6-0cf037d5aba1,7701440f-17b4-47da-a070-d11afd94e9ae,947d262c-5ccf-413a-868f-16ed7005a46b,0139ef5f-7adc-4e84-90c1-42ebf59aaf98
CD3D,1.6435739667926623,2.984353149124962,3.3600275571775944,4.965785332747716,2.6104313130339905,3.647569607968856,1.5406002135903925,2.3467185421705232,1.183452626106168,1.8111758996522909,1.4636820679314384,4.033620095889145,2.376224722676042,3.4842571332068077,0.7667058817456766,3.967497368741308
CD3E,1.8817198591251227,4.388693569843303,4.734502112460724,6.287007578781433,3.968301051085392,4.633279728773261,2.268527274754345,3.690884630018382,2.566131185869396,2.8509391088937184,2.41550869305948,5.5231019979088805,3.7099238340935927,4.976863742703293,2.0525617694380944,5.624435187468486
CD4,4.8699951541084765,6.917230596562097,6.209577627675448,6.1005580112822,7.125717875118501,7.013482135935747,4.1467108626131095,6.65592760034694,5.13827548899334,5.851458655099375,4.441222469494837,5.656281298025162,5.658081443380747,6.383517306832431,3.5104579813831576,6.85361076245777
CD8A,2.1435346913576825,4.2025973358638185,3.1604630910178924,6.802688437326284,2.622297964692352,3.6245767677588607,1.330674532648484,2.39924620005944,1.5394293173156572,2.3156958194136563,1.5071131954188948,5.216837924847647,2.5293470142766554,3.0071081321851603,1.2924989770312745,5.636047497410955
CD8B,0.9547039229286384,1.893078332622471,1.693319025747787,4.42391463712883,0.7383834435606843,2.094047734273436,0.3479336976943311,0.6469415672142881,0.5874284752045233,1.9584063361342297,0.2247642441953753,2.9596634585745503,0.811242027118915,1.3534595188976797,0.3390985996419762,3.025993714035389
FOXP3,0.5064641027247432,2.1888051803692568,3.59695663076285,2.7586424759652464,2.402515475084451,3.636118993204809,0.8011165995470579,3.352010143737909,1.4169981986489406,1.392417811985401,1.8387346140393952,3.1354435980288966,2.248901945283712,3.310656198887545,1.4734392578801874,4.0499425311105695
GZMB,1.4176356386182092,2.447710974579104,1.783848820834178,4.356881975879317,2.7521789178117304,3.5337010307864176,0.7500414117712196,2.319719669708547,2.899069792333147,3.319619346801771,2.096056160832912,4.648113081673605,2.1462783129378,1.7803858684916418,0.6851446276244121,4.970170125800943
IFNG,0.2296361394156672,0.2991940167945707,0.1207043659175628,1.246279773403268,0.6484002266602807,0.6182383738253561,0.0216957950810305,0.1708779826176175,0.0625970999551523,0.1427554491851173,0.3662578986610603,1.7279270355931702,0.2678099518800045,0.4738495706129474,0.0,1.2694455014120578
PDCD1,1.3150737452981769,1.4548229690480388,2.121346288767085,3.844476200166404,1.5443120502941967,2.32837841434857,0.4474719120563944,1.9010766943228443,0.8583587141904633,0.6406790760669525,0.5672290887039525,3.1158412070496526,1.0991478007214082,3.692688041742988,0.1893832098797906,3.587945872963
PRF1,2.1714317464853474,3.6785801221353696,6.159732623175439,5.341904717689562,3.274315509987209,3.037837021138431,1.7171908662617543,3.329629201557334,2.0002219227593883,3.0987649107877573,2.300314622470827,4.715868420885585,2.8825132564390645,2.988629178970853,1.3900999727368135,5.280731100944117
